tmdb_id,imdb_id,title,release_date,language,rating_tmdb,rating_imdb,votes_imdb,revenue,director,cast,genres,runtimeMinutes
977891,tt27802487,Dono,2023-10-05,hi,4.667,5.2,455.0,3008299.0,Avnish S Barjatya,"Rajveer Deol, Paloma Thakeria, Kanikka Kapur, Manik Papneja, Rohan Khurana",Drama,156
1424065,tt29456783,Innalekal Thalirkkumbol,2023-10-06,ml,0.0,5.2,148.0,4263895.0,Sadanandan .M.V,"Joyson Jose, Sarath Krishnan, Stephy Leon, Pramod Veliyanad",Family,106
1181893,tt28870064,Tantiram,2023-10-06,te,5.8,6.8,4192.0,13176938.0,Muthyala Meher Deepak,"Srikanth Gurram, Priyanka Sharma, Avinash, Sukanya Gadavir, Kalidindi","Fantasy,Horror,Mystery",99
1251044,tt28626183,Aaromalinte Adyathe Pranayam,2023-10-06,ml,1.0,8.9,67.0,3684021.0,Mubeen Rouf,"Salim Kumar, Vinod Kovoor, Amana Sreni, Siddique Salaman, Akshay Ashok",Family,129
1001279,tt25402414,Rules Ranjann,2023-10-06,te,5.0,4.1,1383.0,12009847.0,Jyothi Krishna,"Kiran Abbavaram, Neha Shetty, Meher Chahal, Vennela Kishore, Satya",Romance,122
930108,tt21370972,Ratham,2023-10-06,ta,6.333,6.3,829.0,6045085.0,C. S. Amudhan,"Vijay Antony, Mahima Nambiar, Remya Nambeesan, Nandita Swetha, Jagan Krishnan","Action,Crime,Drama",142
1183230,tt29266159,Enaku Endey Kidaiyaathu,2023-10-06,ta,9.0,5.7,195.0,4261346.0,Vikram Ramesh,"Vikram Ramesh, Karthik Venkatraman, Swayam Siddha, Shivakumar Raju, Murali Srinivasan",Mystery,104
752936,tt27539086,800,2023-10-06,ta,6.6,7.1,4377.0,7916157.0,M. S. Sripathy,"Madhur Mittal, Nassar, Mahima Nambiar, King Ratnam, Hari Krishnan","Biography,Sport",158
938551,tt28337815,Somante Krithavu,2023-10-06,ml,5.25,6.0,903.0,1889393.0,Rohith Narayanan,"Vinay Forrt, Fara Shibla, Seema G Nair, Jayan Cherthala, Bipin Chandran",Drama,121
967726,tt27678795,The Road,2023-10-06,ta,5.0,5.4,994.0,6850422.0,Arun Vaseegaran,"Trisha Krishnan, Shabeer Kallarakkal, Miya George, Santhosh Prathap, Vivek Prasanna","Crime,Thriller",143
1187075,tt28820189,MAD,2023-10-06,te,6.5,7.3,3063.0,12162455.0,Kalyan Shankar,"Sangeeth Shobhan, Narne Nithin, Ram Nithin, Vishnu Oi, Sri Gouri Priya Reddy",Comedy,127
1188003,tt21361340,Month of Madhu,2023-10-06,te,6.3,6.8,2554.0,11980359.0,Srikanth Nagothi,"Naveen Chandra, Swathi Reddy, Shreya Navile, Gnaneswari Kandregula, Chaitu Babu","Drama,Romance",140
1131409,tt21262240,Mission Raniganj,2023-10-06,hi,6.222,7.2,20311.0,13447110.0,Tinu Suresh Desai,"Akshay Kumar, Parineeti Chopra, Kumud Mishra, Dibyendu Bhattacharya, Pavan Malhotra","Action,Biography,Drama",134
1189126,tt14182628,Kofuku,2023-10-09,hi,0.0,6.7,26.0,5256552.0,Sumit Suresh Kumar,"Jatin Sarna, Adah Sharma",Unknown,129
1189269,tt29045767,Armaand,2023-10-10,hi,0.0,6.0,19.0,5252579.0,Farhaan Colabawalla,"Rajat Kapoor, Arjan Aujla, Kundan Roy",Unknown,129
1034766,tt21305488,Little Miss Rawther,2023-10-12,ml,4.0,5.0,362.0,2249734.0,Vishnu Dev,"Gouri G Kishan, Shersha Sherief, Manoj K U, Sangeeth Prathap, Jishnu Sreekumar","Comedy,Drama,Musical",122
1189224,tt28795815,Mao Oori Cinema,2023-10-12,te,0.0,8.7,882.0,14395027.0,G Sivaram Teja,"Pulivendula Mahesh, Priya Paul, Aparna Shetty, Mahesh Vitta, Manjunatha Reddy","Comedy,Romance",153
976827,tt27330026,Dhak Dhak,2023-10-13,hi,6.0,6.3,2385.0,3391954.0,Tarun Dudeja,"Fatima Sana Shaikh, Ratna Pathak Shah, Dia Mirza, Sanjana Sanghi, Nishank Verma",Drama,140
1185652,tt29170059,Darranchhoo,2023-10-13,hi,0.0,8.6,50.0,5270173.0,Bharat Ratan,"Smriti Kalra, Karan Patel, Manoj Joshi, Kiran Bhargava, Saanand Verma",Comedy,135
1188335,tt28776030,Akku,2023-10-13,ta,0.0,6.4,97.0,9010857.0,Stalin V,"Prajin Padmanabhan, Ventakesh, Gayatri Rema, Ramanathan, Stalin V",Unknown,129
1190487,tt28970408,Matti Katha,2023-10-13,te,0.0,6.4,4250.0,16306495.0,Pavan Kadiyala,"Raju Aluri, Mallesh B, G Nanda Kishore, Seetha Mahalaxmi Mallesham, Dayanand Reddy",Family,90
1184551,tt22480126,Berlin,2023-10-14,hi,6.125,6.8,4382.0,4458589.0,Atul Sabharwal,"Aparshakti Khurana, Ishwak Singh, Rahul Bose, Anupriya Goenka, Ujjwal Chopra","Drama,Thriller",124
979669,tt21810110,Bhagavanth Kesari,2023-10-19,te,5.2,5.7,5485.0,14231106.0,Anil Ravipudi,"Nandamuri Balakrishna, Sreeleela, Kajal Aggarwal, Arjun Rampal, John Vijay","Action,Drama,Thriller",164
1040194,tt27125266,Ghost,2023-10-19,kn,2.0,6.3,7254.0,9515183.0,M.G. Srinivas,"Shiva Rajkumar, Prashant Narayanan, Jayaram, Archana Jois, Anupam Kher","Action,Thriller",132
893653,tt9688874,Tiger Nageswara Rao,2023-10-20,te,5.821,6.0,4792.0,13506248.0,Vamsee Krishna,"Ravi Teja, Anupam Kher, Gayatri Bhardwaj, Nupur Sanon, Renu Desai","Action,Crime,Drama",172
763118,tt13334578,Ganapath,2023-10-20,hi,3.333,2.6,10750.0,1700000.0,Vikas Bahl,"Tiger Shroff, Kriti Sanon, Amitabh Bachchan, Rahman, Elli Avram","Action,Drama,Sci-Fi",133
1001241,tt22743064,Yaariyan 2,2023-10-20,hi,4.4,4.9,13045.0,321687.0,Vinay Sapru,"Divya Khossla, Yash Daasguptaa, Meezaan Jafri, Pearl V Puri, Hira Warina","Comedy,Drama,Musical",148
1204595,tt29333046,Firki,2023-10-23,hi,0.0,8.0,7.0,5245769.0,Deepak Chawla,"Brijendra Kala, Kirti Mishra Narang, Anupriya Caroli, Perry Chhabra",Unknown,129
1194954,tt15373762,Case 30,2023-10-24,te,0.0,7.0,1258.0,14608421.0,Sandeep Pydimarri,"Siddharth Naidu, Shamili Uniyal, Tanvi Gawade, Vamsi Raghava Yenumula","Crime,Romance,Thriller",120
1195548,tt29529716,Pagalpan Next level,2023-10-27,hi,0.0,8.1,288.0,5405247.0,Aryeman Keshu,"Guru Mann, Arya Babbar, Rakesh Bedi, Avtar Gill, Shazahn Padamsee",Biography,128
1234805,tt29720570,Vote (Chala Viluvainadi),2023-10-27,te,0.0,7.5,12.0,13901269.0,Unknown,Unknown,Unknown,140
1226831,tt29606533,Lingoccha,2023-10-27,te,0.0,7.1,1055.0,14493211.0,Unknown,Unknown,"Comedy,Drama,Romance",139
